GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1400000US24005411309,24005411309,"Census Tract 4113.09, Baltimore County, Maryland",40.2,1.6,38.8,2.1,41.5,2.4
1400000US24005411404,24005411404,"Census Tract 4114.04, Baltimore County, Maryland",45.0,2.0,44.8,2.6,45.1,4.9
1400000US24005411406,24005411406,"Census Tract 4114.06, Baltimore County, Maryland",46.6,1.4,46.0,1.6,47.5,3.0
1400000US24005411407,24005411407,"Census Tract 4114.07, Baltimore County, Maryland",43.2,5.5,41.3,4.8,44.7,7.7
1400000US24005411408,24005411408,"Census Tract 4114.08, Baltimore County, Maryland",41.1,8.0,34.6,9.4,47.0,5.4
1400000US24005411409,24005411409,"Census Tract 4114.09, Baltimore County, Maryland",34.0,2.2,32.7,2.5,34.7,4.3
1400000US24005411410,24005411410,"Census Tract 4114.10, Baltimore County, Maryland",39.6,2.5,38.5,3.4,40.6,3.3
1400000US24005420100,24005420100,"Census Tract 4201, Baltimore County, Maryland",47.1,4.6,42.9,4.5,52.3,5.9
1400000US24005420200,24005420200,"Census Tract 4202, Baltimore County, Maryland",50.5,1.5,47.8,5.3,52.0,4.6
1400000US24005420301,24005420301,"Census Tract 4203.01, Baltimore County, Maryland",32.5,3.7,33.3,4.6,31.9,6.2
1400000US24005420302,24005420302,"Census Tract 4203.02, Baltimore County, Maryland",32.9,4.3,29.3,5.1,36.5,6.2
1400000US24005420303,24005420303,"Census Tract 4203.03, Baltimore County, Maryland",45.4,1.9,45.8,2.2,44.7,2.0
1400000US24005420401,24005420401,"Census Tract 4204.01, Baltimore County, Maryland",34.3,7.5,33.5,4.5,36.5,10.7
1400000US24005420402,24005420402,"Census Tract 4204.02, Baltimore County, Maryland",38.4,8.1,41.1,10.0,35.7,5.7
1400000US24005420500,24005420500,"Census Tract 4205, Baltimore County, Maryland",39.8,6.3,41.9,7.5,36.5,9.0
1400000US24005420600,24005420600,"Census Tract 4206, Baltimore County, Maryland",33.4,4.7,29.3,8.4,37.0,3.7
1400000US24005420701,24005420701,"Census Tract 4207.01, Baltimore County, Maryland",36.3,6.3,33.8,4.8,40.9,8.6
1400000US24005420702,24005420702,"Census Tract 4207.02, Baltimore County, Maryland",40.3,6.2,40.7,5.5,36.6,10.6
1400000US24005420800,24005420800,"Census Tract 4208, Baltimore County, Maryland",45.4,3.7,43.8,1.6,48.6,6.6
1400000US24005420900,24005420900,"Census Tract 4209, Baltimore County, Maryland",38.8,5.2,40.7,7.7,38.6,7.1
1400000US24005421000,24005421000,"Census Tract 4210, Baltimore County, Maryland",37.4,6.3,42.0,7.9,36.5,6.3
1400000US24005421101,24005421101,"Census Tract 4211.01, Baltimore County, Maryland",42.0,2.6,39.3,8.6,47.4,11.9
1400000US24005421102,24005421102,"Census Tract 4211.02, Baltimore County, Maryland",47.0,1.9,46.4,3.6,47.7,2.4
1400000US24005421200,24005421200,"Census Tract 4212, Baltimore County, Maryland",47.2,4.6,43.7,7.6,50.6,5.8
1400000US24005421300,24005421300,"Census Tract 4213, Baltimore County, Maryland",38.6,8.2,41.8,14.1,37.5,8.1
1400000US24005430101,24005430101,"Census Tract 4301.01, Baltimore County, Maryland",30.8,1.2,30.1,2.9,31.8,2.5
1400000US24005430104,24005430104,"Census Tract 4301.04, Baltimore County, Maryland",42.1,5.6,43.4,6.5,38.4,5.5
1400000US24005430200,24005430200,"Census Tract 4302, Baltimore County, Maryland",31.8,4.9,28.4,3.2,35.0,6.4
1400000US24005430300,24005430300,"Census Tract 4303, Baltimore County, Maryland",29.8,3.0,28.5,7.3,30.0,1.9
1400000US24005430400,24005430400,"Census Tract 4304, Baltimore County, Maryland",38.8,5.0,38.0,5.9,43.0,9.1
1400000US24005430600,24005430600,"Census Tract 4306, Baltimore County, Maryland",45.2,3.4,42.8,2.3,48.1,5.0
1400000US24005430700,24005430700,"Census Tract 4307, Baltimore County, Maryland",34.8,2.2,35.6,3.9,34.4,2.7
1400000US24005430800,24005430800,"Census Tract 4308, Baltimore County, Maryland",38.4,7.2,36.0,12.3,38.7,7.0
1400000US24005430900,24005430900,"Census Tract 4309, Baltimore County, Maryland",30.8,2.6,31.4,4.5,30.4,2.2
1400000US24005440100,24005440100,"Census Tract 4401, Baltimore County, Maryland",42.5,2.7,43.6,3.6,41.0,3.7
1400000US24005440200,24005440200,"Census Tract 4402, Baltimore County, Maryland",39.9,4.8,32.9,4.8,48.1,7.4
1400000US24005440300,24005440300,"Census Tract 4403, Baltimore County, Maryland",37.2,2.3,34.5,2.7,38.6,3.8
1400000US24005440400,24005440400,"Census Tract 4404, Baltimore County, Maryland",42.3,2.3,40.7,3.1,43.0,1.9
1400000US24005440500,24005440500,"Census Tract 4405, Baltimore County, Maryland",44.9,2.6,40.1,7.1,49.2,4.2
1400000US24005440600,24005440600,"Census Tract 4406, Baltimore County, Maryland",43.6,4.6,49.5,6.7,38.3,9.4
1400000US24005440701,24005440701,"Census Tract 4407.01, Baltimore County, Maryland",31.7,3.1,31.2,3.4,33.4,4.8
