State,StateAbbreviation,County,Party,Candidate,Votes,FractionVotes
Iowa,IA,Wright,Democrat,Hillary Clinton,,0.55
Iowa,IA,Adair,Democrat,Bernie Sanders,,0.44
Iowa,IA,Adams,Democrat,Bernie Sanders,,0.43
Iowa,IA,Allamakee,Democrat,Bernie Sanders,,0.49
Iowa,IA,Appanoose,Democrat,Bernie Sanders,,0.45
Iowa,IA,Audubon,Democrat,Bernie Sanders,,0.37
Iowa,IA,Benton,Democrat,Bernie Sanders,,0.44
Iowa,IA,Black Hawk,Democrat,Hillary Clinton,,0.47
Iowa,IA,Boone,Democrat,Hillary Clinton,,0.45
Iowa,IA,Bremer,Democrat,Bernie Sanders,,0.45
Iowa,IA,Buchanan,Democrat,Bernie Sanders,,0.47
Iowa,IA,Buena Vista,Democrat,Bernie Sanders,,0.48
Iowa,IA,Butler,Democrat,Hillary Clinton,,0.42
Iowa,IA,Calhoun,Democrat,Bernie Sanders,,0.5
Iowa,IA,Carroll,Democrat,Bernie Sanders,,0.37
Iowa,IA,Cass,Democrat,Bernie Sanders,,0.38
Iowa,IA,Cedar,Democrat,Hillary Clinton,,0.44
Iowa,IA,Cerro Gordo,Democrat,Bernie Sanders,,0.5
Iowa,IA,Cherokee,Democrat,Hillary Clinton,,0.45
Iowa,IA,Chickasaw,Democrat,Bernie Sanders,,0.39
Iowa,IA,Clarke,Democrat,Bernie Sanders,,0.42
Iowa,IA,Clay,Democrat,Hillary Clinton,,0.49
Iowa,IA,Clayton,Democrat,Hillary Clinton,,0.49
Iowa,IA,Clinton,Democrat,Hillary Clinton,,0.49
Iowa,IA,Crawford,Democrat,Bernie Sanders,,0.42
Iowa,IA,Dallas,Democrat,Bernie Sanders,,0.42
Iowa,IA,Davis,Democrat,Bernie Sanders,,0.42
Iowa,IA,Decatur,Democrat,Bernie Sanders,,0.47
Iowa,IA,Delaware,Democrat,Bernie Sanders,,0.43
Iowa,IA,Des Moines,Democrat,Hillary Clinton,,0.47
Iowa,IA,Dickinson,Democrat,Hillary Clinton,,0.49
Iowa,IA,Dubuque,Democrat,Bernie Sanders,,0.47
Iowa,IA,Emmet,Democrat,Bernie Sanders,,0.44
Iowa,IA,Fayette,Democrat,Bernie Sanders,,0.47
Iowa,IA,Floyd,Democrat,Bernie Sanders,,0.43
Iowa,IA,Franklin,Democrat,Bernie Sanders,,0.42
Iowa,IA,Fremont,Democrat,Hillary Clinton,,0.44
Iowa,IA,Greene,Democrat,Bernie Sanders,,0.46
Iowa,IA,Grundy,Democrat,Hillary Clinton,,0.47
Iowa,IA,Guthrie,Democrat,Bernie Sanders,,0.45
Iowa,IA,Hamilton,Democrat,Bernie Sanders,,0.41
Iowa,IA,Hancock,Democrat,Bernie Sanders,,0.39
Iowa,IA,Hardin,Democrat,Bernie Sanders,,0.42
Iowa,IA,Harrison,Democrat,Hillary Clinton,,0.45
Iowa,IA,Henry,Democrat,Bernie Sanders,,0.5
Iowa,IA,Howard,Democrat,Hillary Clinton,,0.46
Iowa,IA,Humboldt,Democrat,Bernie Sanders,,0.44
Iowa,IA,Ida,Democrat,Bernie Sanders,,0.47
Iowa,IA,Iowa,Democrat,Bernie Sanders,,0.49
Iowa,IA,Jackson,Democrat,Bernie Sanders,,0.46
Iowa,IA,Jasper,Democrat,Bernie Sanders,,0.45
Iowa,IA,Jefferson,Democrat,Hillary Clinton,,0.27
Iowa,IA,Johnson,Democrat,Hillary Clinton,,0.4
Iowa,IA,Jones,Democrat,Hillary Clinton,,0.47
Iowa,IA,Keokuk,Democrat,Bernie Sanders,,0.35
Iowa,IA,Kossuth,Democrat,Bernie Sanders,,0.36
Iowa,IA,Lee,Democrat,Bernie Sanders,,0.45
Iowa,IA,Linn,Democrat,Hillary Clinton,,0.47
Iowa,IA,Louisa,Democrat,Bernie Sanders,,0.42
Iowa,IA,Lucas,Democrat,Bernie Sanders,,0.4
Iowa,IA,Lyon,Democrat,Hillary Clinton,,0.4
Iowa,IA,Madison,Democrat,Bernie Sanders,,0.47
Iowa,IA,Mahaska,Democrat,Bernie Sanders,,0.44
Iowa,IA,Marion,Democrat,Bernie Sanders,,0.48
Iowa,IA,Marshall,Democrat,Hillary Clinton,,0.47
Iowa,IA,Mills,Democrat,Bernie Sanders,,0.49
Iowa,IA,Mitchell,Democrat,Bernie Sanders,,0.34
Iowa,IA,Monona,Democrat,Bernie Sanders,,0.39
Iowa,IA,Monroe,Democrat,Hillary Clinton,,0.43
Iowa,IA,Montgomery,Democrat,Hillary Clinton,,0.36
Iowa,IA,Muscatine,Democrat,Hillary Clinton,,0.46
Iowa,IA,O'Brien,Democrat,Bernie Sanders,,0.47
Iowa,IA,Osceola,Democrat,Bernie Sanders,,0.38
Iowa,IA,Page,Democrat,Hillary Clinton,,0.49
Iowa,IA,Palo Alto,Democrat,Bernie Sanders,,0.47
Iowa,IA,Plymouth,Democrat,Bernie Sanders,,0.45
Iowa,IA,Pocahontas,Democrat,Bernie Sanders,,0.3
Iowa,IA,Polk,Democrat,Bernie Sanders,,0.46
Iowa,IA,Pottawattamie,Democrat,Hillary Clinton,,0.49
Iowa,IA,Poweshiek,Democrat,Hillary Clinton,,0.47
Iowa,IA,Ringgold,Democrat,Bernie Sanders,,0.34
Iowa,IA,Sac,Democrat,Bernie Sanders,,0.45
Iowa,IA,Scott,Democrat,Hillary Clinton,,0.49
Iowa,IA,Shelby,Democrat,Hillary Clinton,,0.42
Iowa,IA,Sioux,Democrat,Hillary Clinton,,0.48
Iowa,IA,Story,Democrat,Hillary Clinton,,0.4
Iowa,IA,Tama,Democrat,Bernie Sanders,,0.47
Iowa,IA,Taylor,Democrat,Bernie Sanders,,0.3
Iowa,IA,Union,Democrat,Hillary Clinton,,0.46
Iowa,IA,Van Buren,Democrat,Hillary Clinton,,0.47
Iowa,IA,Wapello,Democrat,Bernie Sanders,,0.45
Iowa,IA,Warren,Democrat,Bernie Sanders,,0.43
Iowa,IA,Washington,Democrat,Bernie Sanders,,0.46
Iowa,IA,Wayne,Democrat,Bernie Sanders,,0.35
Iowa,IA,Webster,Democrat,Bernie Sanders,,0.45
Iowa,IA,Winnebago,Democrat,Hillary Clinton,,0.42
Iowa,IA,Winneshiek,Democrat,Hillary Clinton,,0.44
Iowa,IA,Woodbury,Democrat,Hillary Clinton,,0.46
Iowa,IA,Worth,Democrat,Hillary Clinton,,0.45
Iowa,IA,Wright,Democrat,Bernie Sanders,,0.45
Iowa,IA,Adair,Democrat,Martin O'Malley,,0.0
Iowa,IA,Adams,Democrat,Martin O'Malley,,0.0
Iowa,IA,Allamakee,Democrat,Martin O'Malley,,0.0
Iowa,IA,Appanoose,Democrat,Martin O'Malley,,0.0
Iowa,IA,Audubon,Democrat,Martin O'Malley,,0.0
Iowa,IA,Benton,Democrat,Martin O'Malley,,0.0
Iowa,IA,Black Hawk,Democrat,Martin O'Malley,,0.0
Iowa,IA,Boone,Democrat,Martin O'Malley,,0.0
Iowa,IA,Bremer,Democrat,Martin O'Malley,,0.01
Iowa,IA,Buchanan,Democrat,Martin O'Malley,,0.0
Iowa,IA,Buena Vista,Democrat,Martin O'Malley,,0.03
Iowa,IA,Butler,Democrat,Martin O'Malley,,0.0
Iowa,IA,Calhoun,Democrat,Martin O'Malley,,0.0
Iowa,IA,Carroll,Democrat,Martin O'Malley,,0.0
Iowa,IA,Cass,Democrat,Martin O'Malley,,0.02
Iowa,IA,Cedar,Democrat,Martin O'Malley,,0.0
Iowa,IA,Cerro Gordo,Democrat,Martin O'Malley,,0.0
Iowa,IA,Cherokee,Democrat,Martin O'Malley,,0.0
Iowa,IA,Chickasaw,Democrat,Martin O'Malley,,0.01
Iowa,IA,Clarke,Democrat,Martin O'Malley,,0.0
Iowa,IA,Clay,Democrat,Martin O'Malley,,0.0
Iowa,IA,Clayton,Democrat,Martin O'Malley,,0.0
Iowa,IA,Clinton,Democrat,Martin O'Malley,,0.0
Iowa,IA,Crawford,Democrat,Martin O'Malley,,0.13
Iowa,IA,Dallas,Democrat,Martin O'Malley,,0.01
Iowa,IA,Davis,Democrat,Martin O'Malley,,0.0
Iowa,IA,Decatur,Democrat,Martin O'Malley,,0.01
Iowa,IA,Delaware,Democrat,Martin O'Malley,,0.02
Iowa,IA,Des Moines,Democrat,Martin O'Malley,,0.0
Iowa,IA,Dickinson,Democrat,Martin O'Malley,,0.0
Iowa,IA,Dubuque,Democrat,Martin O'Malley,,0.0
Iowa,IA,Emmet,Democrat,Martin O'Malley,,0.0
Iowa,IA,Fayette,Democrat,Uncommitted,,0.0
Iowa,IA,Floyd,Democrat,Martin O'Malley,,0.0
Iowa,IA,Franklin,Democrat,Martin O'Malley,,0.01
Iowa,IA,Fremont,Democrat,Martin O'Malley,,0.06
Iowa,IA,Greene,Democrat,Martin O'Malley,,0.0
Iowa,IA,Grundy,Democrat,Martin O'Malley,,0.01
Iowa,IA,Guthrie,Democrat,Martin O'Malley,,0.0
Iowa,IA,Hamilton,Democrat,Martin O'Malley,,0.0
Iowa,IA,Hancock,Democrat,Martin O'Malley,,0.0
Iowa,IA,Hardin,Democrat,Martin O'Malley,,0.0
Iowa,IA,Harrison,Democrat,Martin O'Malley,,0.0
Iowa,IA,Henry,Democrat,Martin O'Malley,,0.0
Iowa,IA,Howard,Democrat,Martin O'Malley,,0.0
Iowa,IA,Humboldt,Democrat,Martin O'Malley,,0.0
Iowa,IA,Ida,Democrat,Martin O'Malley,,0.0
Iowa,IA,Iowa,Democrat,Martin O'Malley,,0.0
Iowa,IA,Jackson,Democrat,Martin O'Malley,,0.04
Iowa,IA,Jasper,Democrat,Martin O'Malley,,0.03
Iowa,IA,Jefferson,Democrat,Martin O'Malley,,0.0
Iowa,IA,Johnson,Democrat,Martin O'Malley,,0.0
Iowa,IA,Jones,Democrat,Martin O'Malley,,0.0
Iowa,IA,Keokuk,Democrat,Martin O'Malley,,0.02
Iowa,IA,Kossuth,Democrat,Martin O'Malley,,0.02
Iowa,IA,Lee,Democrat,Martin O'Malley,,0.0
Iowa,IA,Linn,Democrat,Martin O'Malley,,0.0
Iowa,IA,Louisa,Democrat,Martin O'Malley,,0.02
